game_id,role,kill,death,assist,gold_earned,champion_level,total_damage_dealt,total_damage_dealt_to_champions,vision_score,minion_kill,laning_score,is_win,rift_herald_kill,rift_herald_first,dragon_kill,dragon_first,baron_kill,baron_first,tower_kill,horde_kill
14.0,enemy_jungle,2.0,7.0,5.0,7981.0,14.0,128847.0,9386.0,4.0,23.0,3.906166802322841,,,,,,,,,
14.0,enemy_mid,4.0,7.0,5.0,8971.0,15.0,95370.0,23347.0,14.0,123.0,4.3202659858292165,,,,,,,,,
14.0,enemy_adc,10.0,9.0,7.0,12988.0,14.0,136002.0,30072.0,16.0,176.0,4.991474374988421,,,,,,,,,
14.0,enemy_support,2.0,6.0,12.0,8037.0,13.0,11715.0,6324.0,15.0,3.0,5.354039838414005,,,,,,,,,
14.0,my_team,,,,59483,,,,,,,True,0,False,2,False,0,False,11,3
14.0,enemy_team,,,,51530,,,,,,,False,1,True,2,True,0,False,4,0
15.0,my_top,1.0,9.0,4.0,10825.0,16.0,174528.0,28071.0,9.0,222.0,5.081265982081744,,,,,,,,,
15.0,my_jungle,4.0,8.0,9.0,11426.0,14.0,214422.0,22184.0,15.0,19.0,5.46507115343892,,,,,,,,,
15.0,my_mid,5.0,9.0,8.0,10809.0,14.0,123353.0,19119.0,15.0,162.0,4.906674867119681,,,,,,,,,
15.0,my_adc,2.0,6.0,1.0,7928.0,13.0,111143.0,11447.0,24.0,141.0,3.90915618786618,,,,,,,,,
15.0,my_support,6.0,17.0,3.0,10155.0,13.0,87607.0,22255.0,59.0,75.0,2.992953174370207,,,,,,,,,
15.0,enemy_top,3.0,4.0,4.0,11851.0,17.0,140089.0,36432.0,9.0,200.0,4.918734017918256,,,,,,,,,
15.0,enemy_jungle,9.0,3.0,12.0,12743.0,16.0,179018.0,18585.0,39.0,11.0,5.320071751925668,,,,,,,,,
15.0,enemy_mid,5.0,7.0,14.0,11613.0,16.0,151054.0,27753.0,15.0,168.0,4.885071899698196,,,,,,,,,
15.0,enemy_adc,22.0,1.0,7.0,17652.0,17.0,207754.0,40143.0,30.0,160.0,6.069663519458234,,,,,,,,,
15.0,enemy_support,10.0,3.0,16.0,12511.0,15.0,88245.0,32801.0,64.0,69.0,6.007021368397721,,,,,,,,,
15.0,my_team,,,,51143,,,,,,,False,1,True,0,False,0,False,3,6
15.0,enemy_team,,,,66370,,,,,,,True,0,False,4,True,1,True,11,0
16.0,my_top,0.0,7.0,2.0,4882.0,11.0,50371.0,10928.0,6.0,84.0,3.746378433029574,,,,,,,,,
16.0,my_jungle,5.0,5.0,1.0,8199.0,12.0,101080.0,10413.0,9.0,24.0,4.320083136721353,,,,,,,,,
16.0,my_mid,3.0,8.0,0.0,7315.0,12.0,93769.0,11087.0,5.0,133.0,3.620186031710638,,,,,,,,,
16.0,my_adc,1.0,8.0,2.0,5989.0,11.0,69314.0,11727.0,9.0,105.0,3.286487163860454,,,,,,,,,
16.0,my_support,1.0,7.0,2.0,4932.0,9.0,20457.0,5234.0,11.0,24.0,3.4534365169983383,,,,,,,,,
16.0,enemy_top,6.0,4.0,1.0,8518.0,14.0,122783.0,23071.0,13.0,129.0,5.679916863278647,,,,,,,,,
16.0,enemy_jungle,3.0,3.0,14.0,9600.0,12.0,172357.0,11843.0,18.0,25.0,6.188293126923804,,,,,,,,,
16.0,enemy_mid,9.0,1.0,11.0,9987.0,13.0,89922.0,15438.0,3.0,114.0,5.992659410346536,,,,,,,,,
16.0,enemy_adc,10.0,1.0,6.0,9215.0,11.0,79871.0,19063.0,6.0,104.0,6.902851072479321,,,,,,,,,
16.0,enemy_support,7.0,1.0,12.0,8108.0,11.0,27307.0,9094.0,24.0,11.0,6.308428146325688,,,,,,,,,
16.0,my_team,,,,31317,,,,,,,False,0,False,0,False,0,False,0,0
16.0,enemy_team,,,,45428,,,,,,,True,1,True,2,True,0,False,8,6
17.0,my_top,2.0,7.0,1.0,7633.0,11.0,80295.0,9366.0,10.0,119.0,4.181685873253223,,,,,,,,,
17.0,my_jungle,5.0,5.0,3.0,8312.0,11.0,95702.0,11425.0,10.0,18.0,4.578412897866575,,,,,,,,,
17.0,my_mid,1.0,8.0,2.0,6037.0,12.0,80177.0,13851.0,10.0,115.0,3.3052711064179494,,,,,,,,,
17.0,my_adc,4.0,8.0,3.0,7987.0,10.0,62205.0,16212.0,11.0,106.0,5.2709659200141505,,,,,,,,,
17.0,my_support,2.0,9.0,5.0,5858.0,9.0,21571.0,8712.0,26.0,25.0,4.407851597867137,,,,,,,,,
